ID,Book,Author,Year First Published,Status,Books3 Publisher,bibtex name,Random,Books3 manifest entry
1,Things Fall Apart,"Achebe, Chinua",1958,all rights reserved,"Anchor Books; Random House, Inc.",Things_Fall_Apart,FALSE,https://the-eye.eu/public/Books/Bibliotik/C/Chinua%20Achebe%20-%20Things%20Fall%20Apart.epub
2,The Hitchhiker's Guide to the Galaxy - Omnibus,"Adams, Douglas",1979,all rights reserved,Pan Books; Pan Macmillan; William Heinemann Ltd,The_Hitchhiker_s_Guide_to_the_Galaxy_-_Omnibus,FALSE,https://the-eye.eu/public/Books/Bibliotik/T/The%20Hitchhiker%27s%20Guide%20to%20the%20Galaxy%20Omnibus%20A%20Trilogy%20in%20Five%20Parts%20-%20Douglas%20Adams.epub
3,Americanah,"Adichie, Chimamanda Ngozi",2013,all rights reserved,Alfred A. Knopf; Alfred A. Knopf Canada,Americanah,FALSE,https://the-eye.eu/public/Books/Bibliotik/A/Americanah-Adichie.epub
4,The Baghdad Clock,"Al Rawi, Shahad",2016,all rights reserved,Oneworld Publications; Dar al-Hikma,The_Baghdad_Clock,TRUE,https://the-eye.eu/public/Books/Bibliotik/T/The%20Baghdad%20Clock%20-%20Shahad%20Al%20Rawi.epub
5,Industrial Magic,"Armstrong, Kelley",2004,all rights reserved,Bantam Dell,Industrial_Magic,TRUE,https://the-eye.eu/public/Books/Bibliotik/I/Industrial%20Magic%20-%20Kelley%20Armstrong.epub
6,Fantastic Voyage,"Asimov, Isaac",1966,all rights reserved,"Bantam Dell; Random House, Inc.; Bantam Books",Fantastic_Voyage,FALSE,https://the-eye.eu/public/Books/Bibliotik/I/IsaacAsimov-FantasticVoyage_9780307790965.epub
7,The Complete Robot,"Asimov, Isaac",1982,all rights reserved,Dream Letters Corporation; Dream Letters Corp.,The_Complete_Robot,FALSE,https://the-eye.eu/public/Books/Bibliotik/I/Isaac%20Asimov%20-%20The%20Complete%20Robot.epub
8,The Handmaid's Tale,"Atwood, Margaret",1985,all rights reserved,Houghton Mifflin Harcourt Publishing Company,The_Handmaid_s_Tale,FALSE,https://the-eye.eu/public/Books/Bibliotik/M/Margaret%20Atwood%20%281985%29%20The%20Handmaid%27s%20Tale%20%5Bretail%5D.epub
9,Pride and Prejudice,"Austen, Jane",1813,public domain,Penguin Books Ltd,Pride_and_Prejudice,FALSE,https://the-eye.eu/public/Books/Bibliotik/P/Pride%20and%20Prejudice%20-%20Jane%20Austen.epub
10,The Christmas Train,"Baldacci, David",2001,all rights reserved,"Warner Books, Inc.; Hachette Book Group",The_Christmas_Train,TRUE,https://the-eye.eu/public/Books/Bibliotik/T/The%20Christmas%20Train%20-%20David%20Baldacci.epub
11,Notes of a Native Son,"Baldwin, James",1955,all rights reserved,Beacon Press,Notes_of_a_Native_Son,FALSE,https://the-eye.eu/public/Books/Bibliotik/J/James%20Baldwin%20-%20Notes%20of%20a%20Native%20Son.epub
12,Another Country,"Baldwin, James",1962,all rights reserved,Michael Joseph; Penguin Books,Another_Country,FALSE,https://the-eye.eu/public/Books/Bibliotik/A/Another%20Country%20-%20James%20Baldwin.epub
13,The Lemon Table,"Barnes, Julian",2004,all rights reserved,Vintage International,The_Lemon_Table,TRUE,https://the-eye.eu/public/Books/Bibliotik/J/Julian%20Barnes%20-%20The%20Lemon%20Table.epub
14,Dante and the Origins of Italian Literary Culture,"Barolini, Teodolinda",2006,all rights reserved,Fordham University Press,Dante_and_the_Origins_of_Italian_Literary_Culture,FALSE,https://the-eye.eu/public/Books/Bibliotik/D/Dante%20and%20the%20Origins%20of%20Italia%20-%20Barolini%2C%20Teodolinda%3B.epub
15,The Parthenon,"Beard, Mary",2002,all rights reserved,Profile Books Ltd,The_Parthenon,TRUE,https://the-eye.eu/public/Books/Bibliotik/T/The%20Parthenon%20-%20Mary%20Beard.epub
16,Guam: Past and Present,"Beardsley, Charles",1964,all rights reserved,"Charles E. Tuttle Company, Inc.",Guam_Past_and_Present,TRUE,https://the-eye.eu/public/Books/Bibliotik/G/Guam%20Past%20and%20Present%20-%20Charles%20Beardsley.epub
17,Waiting for Godot,"Beckett, Samuel",1952,all rights reserved,"Grove Press; Grove/Atlantic, Inc.",Waiting_for_Godot,FALSE,https://the-eye.eu/public/Books/Bibliotik/W/Waiting%20for%20Godot%20-%20Samuel%20Beckett.epub
18,The Lonely Soldier,"Benedict, Helen",2009,all rights reserved,Beacon Press,The_Lonely_Soldier,TRUE,https://the-eye.eu/public/Books/Bibliotik/T/The%20Lonely%20Soldier%202011%20-%20Helen%20Benedict.epub
19,Simple Cakes,"Berry, Mary",2006,all rights reserved,BBC Books; BBC Worldwide Ltd,Simple_Cakes,TRUE,https://the-eye.eu/public/Books/Bibliotik/S/Simple%20Cakes%20-%20Mary%20Berry.epub
20,Paradise Valley,"Box, C.J.",2017,all rights reserved,Head of Zeus Ltd,Paradise_Valley,TRUE,https://the-eye.eu/public/Books/Bibliotik/P/Paradise%20Valley%20-%20C.J.%20Box.epub
21,The Cat's Pajamas,"Bradbury, Ray",2004,all rights reserved,William Morrow; HarperCollins e-books,The_Cat_s_Pajamas,TRUE,https://the-eye.eu/public/Books/Bibliotik/T/The%20Cat%27s%20Pajamas%20-%20Ray%20Bradbury.epub
22,London in Chains,"Bradshaw, Gillian",2009,all rights reserved,Severn House Publishers Ltd,London_in_Chains,TRUE,https://the-eye.eu/public/Books/Bibliotik/L/London%20in%20Chains%20-%20Gillian%20Bradshaw.epub
23,My Einstein,"Brockman, John",2006,all rights reserved,Pantheon Books; Random House of Canada Limited,My_Einstein,TRUE,https://the-eye.eu/public/Books/Bibliotik/M/My%20Einstein%20-%20John%20Brockman.epub
24,The Da Vinci Code,"Brown, Dan",2003,all rights reserved,Transworld Publishers; Bantam Press; Corgi,The_Da_Vinci_Code,FALSE,https://the-eye.eu/public/Books/Bibliotik/D/Dan%20Brown%20-%20The%20Da%20Vinci%20Code.epub
25,Live and Learn,"Bryant, Niobia",2007,all rights reserved,Dafina Books; Kensington Publishing Corp.,Live_and_Learn,TRUE,https://the-eye.eu/public/Books/Bibliotik/L/Live%20and%20Learn%20-%20Niobia%20Bryant.epub
